,name,gender,frequency
78,ANGELIKA,F,0.0014861692109867073
79,VOLODYMYR,M,0.0014182101591546955
79,OLHA,F,0.0014032582518614667
80,OLGA,F,0.0014010143209047493
80,EUGENIUSZ,M,0.0013862684889034637
81,LEON,M,0.0013603716938825725
81,OKSANA,F,0.0013588833723296478
82,BOGUSŁAW,M,0.0013551282225653452
83,IRENEUSZ,M,0.0013545557911988357
82,MARIIA,F,0.0013134323218287908
84,OLIWIER,M,0.001308028569728941
83,MICHALINA,F,0.0012964654561254483
84,SVITLANA,F,0.0012886574922862583
85,DMYTRO,M,0.0012863677668202202
86,STEFAN,M,0.0012720340854028215
87,WITOLD,M,0.001268507908185123
85,ILONA,F,0.0012603793827806874
86,BOGUMIŁA,F,0.0012530751585440258
87,KAZIMIERA,F,0.0012481751460467043
88,SANDRA,F,0.001244740557847647
89,ANASTASIIA,F,0.0012335438003187207
90,YULIIA,F,0.0012326279101323053
88,SYLWESTER,M,0.001225392377659625
91,NADIA,F,0.001215065715807793
89,IVAN,M,0.0012078530805897728
92,VIKTORIIA,F,0.0012035483967136212
90,ALAN,M,0.0011833530181031649
93,KORNELIA,F,0.001165218392412143
91,ZYGMUNT,M,0.0011630889477287274
94,GENOWEFA,F,0.0011253313747937588
95,ŁUCJA,F,0.0011128523710038508
96,MARLENA,F,0.001111547227488209
97,NINA,F,0.0010944658755115647
98,LILIANA,F,0.001082834070144091
99,POLA,F,0.0010823990223055439
100,IGA,F,0.0010821471525042797
92,MAKSYM,M,0.0010802924748767888
101,BOGUSŁAWA,F,0.0010776363933361845
102,SABINA,F,0.001076468633348505
93,CEZARY,M,0.0010708359087020513
103,HENRYKA,F,0.0010586774664773889
104,KATERYNA,F,0.001055929795918143
94,WŁODZIMIERZ,M,0.001053113433594916
105,ANITA,F,0.001051006886166161
106,MARCELINA,F,0.0010452138807370845
95,IGNACY,M,0.001026438131915572
107,JÓZEFA,F,0.0010013885353171148
96,GABRIEL,M,0.0009912908460118868
108,STEFANIA,F,0.0009861618609679614
109,JAGODA,F,0.0009833683958993947
110,REGINA,F,0.0009685538721341281
97,ZENON,M,0.0009572426283318997
98,JULIAN,M,0.0009547468275739182
99,MYKOLA,M,0.0009458626927656902
111,LIUDMYLA,F,0.0009268579713975738
100,NORBERT,M,0.0009054948327994381
101,TYMON,M,0.0008954658352581911
112,ANIELA,F,0.0008936111576307002
113,CZESŁAWA,F,0.0008663176300755256
102,TYMOTEUSZ,M,0.000864233979901431
103,VITALII,M,0.0008526250717886177
114,KARINA,F,0.000850060579266655
115,WŁADYSŁAWA,F,0.0008376731644953887
104,YURII,M,0.0008162642313879322
105,IHOR,M,0.0008080899114741761
106,FABIAN,M,0.000802983823684911
107,VASYL,M,0.0007950384763177588
116,DIANA,F,0.0007944660449512492
108,MYKHAILO,M,0.0007918557579199658
117,WIOLETA,F,0.0007867954646400215
118,ADRIANNA,F,0.0007855819101430213
109,VLADYSLAV,M,0.0007621122241161305
110,BŁAŻEJ,M,0.0007559757598671482
111,ARTEM,M,0.0007429472219653914
119,SARA,F,0.0007356887922380505
120,ROKSANA,F,0.0007337883201012388
121,DAGMARA,F,0.0007278121366348793
112,OLEH,M,0.0007277205476162378
122,HALYNA,F,0.0007118298528819332
123,MALWINA,F,0.0006964886922594777
113,ERYK,M,0.0006777129434379651
124,MARYNA,F,0.0006653484259213592
114,EMIL,M,0.0006647302000455288
125,SOFIIA,F,0.0006529839084047533
126,ELIZA,F,0.0006498927790256018
115,VIKTOR,M,0.0006496867037336584
127,KLARA,F,0.0006444203351617707
128,VALENTYNA,F,0.0006298805784524286
129,ŻANETA,F,0.0006206529848242949
116,BOHDAN,M,0.0006201263479671061
130,CECYLIA,F,0.0006051973379285376
131,KAJA,F,0.0005976641411452721
132,RÓŻA,F,0.0005961300250830266
133,NADIIA,F,0.0005940692721635922
134,BLANKA,F,0.0005923519780640636
135,ZDZISŁAWA,F,0.0005825061585600997
117,OLEKSII,M,0.000561326197999247
136,ANASTAZJA,F,0.0005562430074646424
137,LEOKADIA,F,0.0005389097856867337
138,OLEKSANDRA,F,0.0005334373418229027
118,NATAN,M,0.0005301401371518077
119,LECH,M,0.0005272321858099394
139,BERNADETA,F,0.0005211873105795987
120,DENYS,M,0.0005202714203931834
121,KSAWERY,M,0.0005013353907890481
140,JULITA,F,0.0005002134253106894
122,WACŁAW,M,0.0004953134128133678
123,BRONISŁAW,M,0.0004950615430121036
